TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed,Class
22-02-2019 4.47,1550000000000.0,-1.0312958,4.612808,11.607361000000001,0.17044067,-0.17677307,0.032409667999999996,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.1765747,4.217758,8.406311,-0.001068115,-0.10006714,0.005767822,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.3533325,8.259171,7.7718506,0.26205444,-0.07237244,-0.01979065,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.76794434,4.0932617,10.69278,-0.0063934330000000004,0.025634766,-0.11033630000000001,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.2838898,3.837082,7.6449585,0.080963135,-0.051071167,-0.0315094,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.53689575,5.924835,9.52919,0.22157288,0.07144165,-0.037902832000000004,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.0420837,3.272049,9.227524,-0.004257202,-0.025497437,-0.07305908,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.34776306,5.855392500000001,8.564331,0.3568573,0.12257385,-0.04748535,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,1.8201903999999998,2.7692718999999997,6.5507965,-0.09161377,-0.02230835,-0.005950928,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.96546936,6.925598,9.177246,0.23861694,0.046936035,-0.0315094,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,0.07003784,2.3694458,11.791718,-0.24394226,-0.004196167,-0.062408447,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,3.2639007999999996,8.539291,3.4000397000000007,0.116119385,0.08955383,0.010040283,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.53330994,7.588806,4.475036599999999,-0.1725769,0.21098328,-0.08689880000000001,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,3.7259827000000003,6.590423599999999,11.50441,-0.36112976,-0.058517455999999995,-0.058151245,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.0456696,7.9359589999999995,3.7783203000000003,0.12144469999999999,0.34840393,-0.06666565,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,7.9278107,11.069962,3.962677,-0.4079895,-0.056396484000000004,-0.016601562,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.9602509,12.927872,-5.9253845,0.055389404,0.6157836999999999,-0.24882507,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,6.9102630000000005,0.84672546,18.440414,-0.98217773,-0.23962402,-0.17318726,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.6154785,6.520981,2.868515,0.511322,0.60513306,-0.15934753,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,7.6141663,10.837738,9.002472000000001,-0.027694702,0.007522583,-0.015533446999999999,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.8197632,6.1881866,9.54834,-0.3483429,0.49647522,-0.2743988,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,6.0699005,8.92955,6.8117676,-0.23435974,-0.10220337,-0.077316284,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.2882537999999997,5.5297849999999995,10.132522999999999,-0.31744385,0.39634705,-0.10394287,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,6.6277466,12.925476,-2.7075806,-0.06498718,-0.15440369,-0.015533446999999999,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-4.419098,9.128264999999999,0.9004822,-0.48788452,0.44854736,-0.16786194,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,5.5575410000000005,3.1116486,15.028671,-0.94914246,-0.44947815,-0.0006259999999999999,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-2.9346924,13.394745,-3.1720428,0.8468933000000001,0.5561371,-0.008071899,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,4.0372314,1.7565308000000002,15.107681,-0.37390137,-0.32377625,0.082473755,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-1.7280121,8.563232000000001,5.10231,0.6093291999999999,0.30899048,-0.07519531,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,2.1793213,2.1635437,13.551453,0.123565674,-0.1437378,0.016418457,10.60212239,76.11342096,0.0,0
22-02-2019 4.47,1550000000000.0,-0.27952576,4.3255004999999995,7.6377716,0.41651917,0.14813232,-0.032577515,10.60212239,76.11342096,0.0,0
