TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed
19-02-2019 11.27,1.55056E+12,0.31184387,5.5896454,7.9346466,-0.005233765,-0.025909424,-0.00970459,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.23762512,5.3526154,8.485321,0.006484985,-3.36E-04,-0.010772705,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.25439453,5.3214874,8.703186,-0.007369995,-0.002471924,0.006271362,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.034118652,5.2544556,8.221954,0.008621216,-0.003540039,-0.005447388,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.23522949,5.2233276,8.854019,-0.0158844,-0.01524353,-0.004379273,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.06524658,5.240082,8.293777,0.01927185,-0.014190674,-0.002243042,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.24481201,5.283188,8.576294,-9.77E-04,-0.020584106,0.00201416,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.31663513,5.2113647,8.70079,0.011810303,-0.016311646,-0.002243042,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.031723022,5.347824,8.181259,0.01927185,-0.010986328,-0.001174927,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.42677307,5.276001,8.71756,-0.00630188,-0.033355713,0.012664795,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.24960327,5.323883,8.2052,0.01927185,-0.008865356,0.008407593,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.7236481,5.498657,8.964157,-0.0158844,-0.005661011,0.02545166,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.7835083,5.876938,7.7287445,0.04270935,-0.028030396,0.003082275,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.48423767,4.639145,9.624954,-0.016952515,0.022033691,0.02545166,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.15861511,5.544159,8.308151,0.06826782,-0.006729126,0.00201416,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.3932495,4.964752,9.189209,0.009674072,-0.025909424,-0.012893677,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.20172119,5.592041,7.7167816,0.065078735,-0.009918213,-0.045928955,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.52493286,5.419647,8.842056,-0.035064697,-0.032287598,-0.059768677,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.30467224,5.5225983,7.98732,0.022460938,-0.031234741,-0.1439209,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.7116852,5.4292297,8.423065,-0.028671265,-0.051467896,-0.18440247,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.53689575,5.5633087,8.2339325,0.008621216,-0.063186646,-0.2621765,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.1083374,5.1443176,8.727127,-0.002044678,-0.047210693,-0.25257874,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.14665222,5.4962616,8.34166,0.023529053,-0.06211853,-0.26750183,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.28790283,5.414871,8.545166,-9.77E-04,-0.06425476,-0.28240967,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.058059692,5.505844,7.9250793,0.013946533,-0.056793213,-0.28987122,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.24720764,5.4316254,8.219559,-0.03186035,-0.07064819,-0.30158997,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.19213867,5.3047333,8.411102,-0.00630188,-0.06744385,-0.33674622,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.12988281,5.6063995,7.7119904,-0.002044678,-0.072769165,-0.34739685,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,0.055664062,5.0724945,8.741501,-0.044647217,-0.063186646,-0.3399353,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.16938782,5.276001,8.571503,0.023529053,-0.053604126,-0.3111725,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.047286987,5.6207733,8.356033,0.01499939,-0.041885376,-0.27282715,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.22445679,4.99588,9.148514,0.033111572,-0.03656006,-0.2568512,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.26994324,5.41008,8.444611,0.049087524,-0.032287598,-0.22062683,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.3728943,5.474716,8.030426,0.00328064,-0.032287598,-0.20144653,10.62099394,76.14430236,0
19-02-2019 11.27,1.55056E+12,-0.28909302,5.129959,8.865997,-0.035064697,-0.022705078,-0.15563965,10.62099394,76.14430236,0
