TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed,Class
19-02-2019 6.28,1550000000000.0,0.30467224,6.8753204,3.5077667000000003,-0.48353577,-0.44561768,0.033966064,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.2662964,4.3015594,12.711089999999999,-0.38980103,-0.38490295,0.040359497,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.0688324,5.7261047,7.316940299999999,0.14709473,0.35440063,-0.03314209,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.1170807000000003,7.4714813,5.925918599999999,0.13537598,0.14027405,0.041427612,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.4682465,3.248108,11.324844,-0.29072570000000003,0.075302124,-0.050186157,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.16340637,6.2265015,6.2658997,0.18331909,0.14666748,-0.07148743,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.4131775,3.5497742,11.006409,-0.13412476,0.0028533940000000004,0.02331543,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.07601929,7.054886,5.1477965999999995,0.31967163,0.12536621,-0.0043792729999999995,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.07003784,3.3079681000000005,9.842834,-0.22041321,0.009246826,-0.049118042,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.31184387,5.967926,3.6418457,0.19290161,-0.007797241,-0.02142334,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.40881348,5.165863,8.087875,-0.18525696,0.05079651,-0.038467407,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.41958618,4.1650849999999995,12.418991,-0.19059753,-0.12284851,-0.038467407,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.53330994,7.133896000000001,4.793457,0.32286072,0.20100403,0.005203247,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.70928955,5.1036224,4.8772583,0.074661255,-0.030166626000000002,0.024383545,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.6777343999999996,4.9192656999999995,10.625732000000001,-0.19165039,0.034820557,-0.17588806,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.9423065,4.426056,10.65686,-0.22254944,-0.20167542,-0.05230713,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.4048003999999998,8.287903,1.6115723,0.40275574,0.32882690000000003,-0.037399292,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.2343903,6.286346400000001,6.711212,-0.04145813,-0.119644165,-0.037399292,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.0480652,4.6822357000000006,7.1708984,-0.12986755,0.19140625,-0.14498901,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.189682,4.457184,9.955353,-0.15756226,-0.10366821,-0.039535522000000003,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.6657562,5.683014,7.0607758,0.109817505,0.33096313,-0.08639526,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.691681,7.6007690000000006,8.676849,0.10021973,-0.07597351,-0.003311157,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.1083374,4.153122,11.339203,-0.21508789,0.12110901,-0.12582397,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.1082764,7.584014999999999,3.505371,0.07252502400000001,-0.008865356,-0.06616211,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.641037,6.0062256,3.7328339,-0.15756226,0.20632935,-0.13008118,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.1170807000000003,5.141922,11.023178,-0.23001099,-0.119644165,-0.090667725,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.17776489999999998,4.2464905,12.220276,-0.06808472,0.07849121,-0.060836792,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.4897919,7.351775999999999,3.7950745,0.22592163,-0.004592896,-0.003311157,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.20649719,5.386139,4.187729,-0.14051819,0.059310913,-0.016098022,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.477829,3.4635925000000003,13.000778,-0.1330719,-0.096206665,0.00201416,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.43634033,1.2657166000000002,15.038254,-0.08619689999999999,0.035888672,0.007339478000000001,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.37528992,9.360503999999999,4.2571564,0.5774689000000001,0.09234619,0.042495727999999997,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.6980896,6.6502686,10.398285000000001,-0.169281,-0.19847107,0.042495727999999997,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.5396422999999997,6.482681299999999,7.721572999999999,0.26960754,-0.004592896,-0.03314209,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.2200317000000003,1.1675568,14.880234,-0.27368164,-0.39341736,0.092559814,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.5372467,8.11792,2.0784302,0.45069885,0.040145874,0.055282593,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.2519989,4.624771,9.988876,-0.27900696,-0.35400390000000004,0.106414795,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.0744018999999998,5.228119,11.774948,0.048034667999999996,-0.21446228,0.082977295,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.1929169,7.002228,5.954651,0.32180786,-0.1494751,0.12878418,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.490982,7.655838,10.015213000000001,0.19929504,-0.018447876000000002,0.08509827,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.2806550000000003,8.297485,9.325683999999999,0.15988159,-0.35293579999999997,0.17671204,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.4558562999999998,6.643097,4.2380066,0.05229187,0.09660339,0.059539795,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.9830017,7.212905999999999,7.3552550000000005,-0.008422852,-0.34121704,0.16394043,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.300232,7.871322599999999,2.9642944,0.0075531009999999996,-0.08023071,0.07765198,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.715271,4.8043365,11.612152,-0.44198608,-0.26239014,0.18737793,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.1130676,10.782669,3.2372284,-0.27793884,-0.25813293,0.2598114,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.6737213,11.287842,-3.6652527000000004,0.001159668,0.39593506,0.057403564000000004,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,6.0914459999999995,5.062912,15.047820999999999,-0.75730896,-0.26559448,0.17245483,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.4339447,7.622314500000001,6.093506,0.1918335,0.43109129999999996,-0.09918213,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.3285370000000003,6.3414154,10.280975,-0.28965759999999996,0.12750244,-0.08001709,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.0220795,9.707672,5.3489075,0.2664032,0.11683655,0.03717041,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.3445282000000005,6.9806669999999995,4.2380066,-0.17460632,0.29794312,-0.005447388,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.4131775,5.050949,6.828537,-0.27261353,0.07316589,0.052078247,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.9614563000000003,8.022155999999999,6.165344,-0.20869446,0.067840576,0.009475708000000001,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.33100890000000005,4.1243896,12.462082,-0.345047,0.06251526,0.01373291,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.9853973000000003,10.502547999999999,4.5851593,0.12365723,0.034820557,0.07765198,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.517746,5.8601837,7.980148299999999,-0.31629944,0.05079651,0.024383545,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,2.8568877999999995,7.912017999999999,4.3960266,-0.24385071,-0.023773192999999998,0.03929138,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.557251,6.619140600000001,4.8700714000000005,-0.12879944,0.16584778,0.05101013,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.6278229,9.765121,3.7519836000000004,-0.27581787,-0.1537323,0.12452698,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.1965027,8.797867,3.986618,-0.1607666,0.24893188,0.016921997,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.7858275999999997,8.508179,6.354476999999999,-0.43560790000000005,-0.14733887,0.08616638,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.1565703999999997,7.248825,8.760651,-0.16821289,0.2926178,0.021194458,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.1513672,8.340575999999999,5.547638,0.02671814,-0.24320984,0.17352295,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.2180481,6.767593400000001,6.500519000000001,-0.10110474,0.16159058,0.057403564000000004,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,3.9079437000000006,6.1403045999999994,9.9457855,-0.028671265,-0.16545105,0.13943481,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.16819763,5.596817,5.593124400000001,0.12260437,0.26278687,0.03929138,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.240799,4.308746299999999,12.859528,0.076797485,0.063583374,0.0914917,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,4.075531,3.0374298,15.12204,0.046966553,-0.13136292,0.14901733,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.4247284,7.643860000000001,2.0856169999999996,0.67652893,0.37677002,0.029708862000000003,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,4.087509,3.6287842000000006,13.75975,-0.31095886,-0.49142456,0.22891235,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.5204926,5.754837,7.733536,0.34950256,0.102996826,0.09788513,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.6470336999999999,4.1794586,8.751068,0.033111572,-0.2240448,0.23104858,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-2.1062927000000005,6.0972137,6.658539,0.3835907,-0.100479126,0.18417358,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.39085388,3.3797913,14.063811999999999,-0.20869446,-0.29328918,0.20974731,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,0.26396179999999997,6.868149000000001,6.038437,0.32818604,-0.16438293,0.22998047,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-1.3473358,6.9184265,4.4869995000000005,0.10021973,0.04866028,0.17565918,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,1.1091156,4.773224,10.905853,-0.10217285,-0.26452637,0.24702454,10.60752876,76.13738339,0.34,0
19-02-2019 6.28,1550000000000.0,-0.6506195,6.5592957,7.7239685,0.1875763,0.122161865,0.10960388,10.60752876,76.13738339,0.34,0
