TIME,Mills,Ax,Ay,Az,Gx,Gy,Gz,Lat,Lon,Speed
19-02-2019 6.28,1.55E+12,0.30467224,6.8753204,3.5077667,-0.48353577,-0.44561768,0.033966064,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.2662964,4.3015594,12.71109,-0.38980103,-0.38490295,0.040359497,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.0688324,5.7261047,7.3169403,0.14709473,0.35440063,-0.03314209,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,2.1170807,7.4714813,5.9259186,0.13537598,0.14027405,0.041427612,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.4682465,3.248108,11.324844,-0.2907257,0.075302124,-0.050186157,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.16340637,6.2265015,6.2658997,0.18331909,0.14666748,-0.07148743,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.4131775,3.5497742,11.006409,-0.13412476,0.002853394,0.02331543,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.07601929,7.054886,5.1477966,0.31967163,0.12536621,-0.004379273,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.07003784,3.3079681,9.842834,-0.22041321,0.009246826,-0.049118042,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.31184387,5.967926,3.6418457,0.19290161,-0.007797241,-0.02142334,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.40881348,5.165863,8.087875,-0.18525696,0.05079651,-0.038467407,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.41958618,4.165085,12.418991,-0.19059753,-0.12284851,-0.038467407,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-0.53330994,7.133896,4.793457,0.32286072,0.20100403,0.005203247,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,0.70928955,5.1036224,4.8772583,0.074661255,-0.030166626,0.024383545,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-1.6777344,4.9192657,10.625732,-0.19165039,0.034820557,-0.17588806,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,1.9423065,4.426056,10.65686,-0.22254944,-0.20167542,-0.05230713,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-1.4048004,8.287903,1.6115723,0.40275574,0.3288269,-0.037399292,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,2.2343903,6.2863464,6.711212,-0.04145813,-0.119644165,-0.037399292,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-1.0480652,4.6822357,7.1708984,-0.12986755,0.19140625,-0.14498901,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,3.189682,4.457184,9.955353,-0.15756226,-0.10366821,-0.039535522,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,-1.6657562,5.683014,7.0607758,0.109817505,0.33096313,-0.08639526,10.60752876,76.13738339,0.34
19-02-2019 6.28,1.55E+12,2.691681,7.600769,8.676849,0.10021973,-0.07597351,-0.003311157,10.60752876,76.13738339,0.34
